ID,text,webVideoUrl
4693 GREENWASHING,Another satisfying day at Yellow Wash!,https://www.tiktok.com/@yellowwash.ca/video/7517804533158874373
4693 GREENWASHING,"White clothes turning yellow over time? Today, Xiaojie shares how to clean them effectively! #YellowedClothes #LaundryTips #StainRemoval #LifeHacks #SweatStains",https://www.tiktok.com/@clean.withmei/video/7497916170042051886
4693 GREENWASHING,"How to restore yellowed pants? After wearing for a long time, pants often get oxidized and yellowed, which regular washing can’t remove. Today, I’ll share a handy trick to fix it! #LifeHacks #StainRemovalMadeEasy #TipsAndTricks #WashingTips",https://www.tiktok.com/@wencleaningcare/video/7516870170007129357
4693 GREENWASHING,This worked so well.  1 cup vinegar  1 scoop Oxyclean  Diva Glamorous Wash  #oxyclean #divaglamorouswash #fypage #laundryhack,https://www.tiktok.com/@everyday_jenni/video/7376235161651858731
4693 GREENWASHING,"Carbonated drinks can also be used to wash clothes! For yellowed clothes and shoes, see how Xiao Jie cleans them~ #YellowShoes #YellowClothes #LifeHacks #EasyStainRemoval #XiaoJieCareTips",https://www.tiktok.com/@clean.withmei/video/7513161718944517422
4693 GREENWASHING,Halifax homes deserve more than a rinse.   #YellowWash #PressureWashing #SoftWashing  #PropertyServices #Halifax #NovaScotia,https://www.tiktok.com/@yellowwash.ca/video/7510753666580696376
4693 GREENWASHING,"This laundry trick has never failed me! To get the yellow stains out of baby clothes: 1/4-1/2cup of vinegar, oxy clean, & detergent. Soak for 24-48 hours. Wash on cold. Lay out in the sun to dry. Take anything that still has stains and repeat process until stains are gone! #laundryhack #laundrytips #handmedowns #babyclothes #laundrytok",https://www.tiktok.com/@mitzi_perkins/video/7519623591508364574
4693 GREENWASHING,How to remove old yellow stains  #yellowstains #stainremoval #laundry #hatcleaning,https://www.tiktok.com/@jeeves_ny/video/7223464263384304942
4693 GREENWASHING,Household laundry care tips! #HouseholdEssentials #WhiteShoesYellowStainRemoval #ShoeDeodorization #YellowedWhiteShoes #HowToCleanYellowedWhiteShoes,https://www.tiktok.com/@cleaninwithdian/video/7487391217978756383
4693 GREENWASHING,"Can You Save Yellowed Socks? Yes, You Can! ✨ Got yellowed socks? Don't throw them away just yet! Try this simple hack to restore their whiteness. #YellowedSocks #StainRemoval #EasyCleaningTips #LaundryHacks #SockCare #PracticalTips",https://www.tiktok.com/@clean.with.jie/video/7497916451769339182
4693 GREENWASHING,"How to clean yellowing shoes? Even after brushing, our white shoes can oxidize and turn yellow. Today, Wenying will teach you how to clean oxidized yellow shoes! #ProfessionalShoeCare #WhiteShoeCleaning #ShoeCare #LifeHacks #WashingTips",https://www.tiktok.com/@wencleaningcare/video/7516495166220274974
4693 GREENWASHING,Replying to @emmaaaaaxe Washing on my lavadero with yellow sunlight soap #washingonmylavadero #lavadero #handwashing #handwashingclothes #washingbyhand #steppingstone #ASMR #soapreviews,https://www.tiktok.com/@ma.maariia/video/7466560787407015199
4693 GREENWASHING,Yellow stay with yellow. #washingmachine #clean #foryoupage#cleaningtiktok  #cleaninghacks #cleaningtips #washingtips #laundry #clening_tiktok #washingtips #clean #cleningmotivation #cleaninghacks #hackslife #lifehacks,https://www.tiktok.com/@cleaning.together.uk/video/7118011317864172806
4693 GREENWASHING,"washing yellow soap, video short #washingsoap #asmrsoap #soapasmr",https://www.tiktok.com/@r_t._g/video/7391659086389054726
4693 GREENWASHING,"Small load of light colored itsms! My best advice is to wash yellows with whites! It keeps both so bright! I used a color brightner, oxi clean and A&H liquid!! These smelled amazing! #laundrytok #fyp #loadofwhites #laundrydetergent #laundryoverload",https://www.tiktok.com/@tayeastt96/video/7376658058090433834
4693 GREENWASHING,Peugeot 306 cabrio yellow!!! Premium wash #car #detail #goldcoast #carwash #wash,https://www.tiktok.com/@jackwash.aus/video/7515760240529296648
4693 GREENWASHING,Works every time #cleandishes #washingdishes #cleaninghack #onthisday,https://www.tiktok.com/@_.claribel_/video/7492220590745455902
4693 GREENWASHING,TikTok taught me so lets get to work - results will be posted shortly. #shoecleaninghack #yellowshoes #experiment,https://www.tiktok.com/@misstiffany159/video/7406019774146186539
4693 GREENWASHING,#pressurewashing #fyp #cleaning #concrete #yellow #satisfying,https://www.tiktok.com/@mullet_mowersmore1/video/7491439177599307038
4693 GREENWASHING,Washing my yellow microfiber cloth ASMR part 21 #asmrseries  #microfibercloth  #Washingonmylavadero #lavadero  #handwashingseries #handwashing #soapreviews #steppingstone,https://www.tiktok.com/@ma.maariia/video/7467773080417373470
4693 GREENWASHING,"✨ Yellowing on Shoe Edges? Over time, white shoes can develop stubborn yellow stains. Try this simple trick to restore their fresh look!  #WhiteShoeCleaning #EasyStainRemoval #CleaningHacks #ShoeCare #FreshAndClean",https://www.tiktok.com/@clean.with.jie/video/7486494815711186222
4693 GREENWASHING,"Home Laundry Hacks: Say Goodbye to Yellowed Pillows! Sweat stains and yellow marks on pillows can be stubborn—but with this simple trick, they’ll look fresh and clean again! ✨ #EasyStainRemoval #YellowedPillow #PillowCleaningTips #LaundryHacks #HowToWashBedsheets #HomeCareTips #FreshBedding",https://www.tiktok.com/@bloamefind/video/7510175491349876010
4693 GREENWASHING,White vans always turn yellow ever after u wash them ... #purpleshampoo #yourwelcome,https://www.tiktok.com/@shawnadarlenejean/video/7066138849117818158
